Customer_ID,Name,Age,Gender,City,Income,customer_id,transaction_id,product_id,amount,payment_mode,date,Income_missing,signup_date,days_since_signup,Gender_Label,Education,Education_Encoded,Income_Standard,Income_MinMax,Income_MaxAbs,Income_Robust,purchase_per_day,Income_Log,Income_Power,Income_Bin,frequent_buyer
CUST100000,Saira Barad,25.0,Male,Surat,174024.38,101,T001,P001,499.0,UPI,2025-10-01,0,2023-01-01,1227,1,School,0.0,0.6593938216911966,0.6813437132348549,0.7046520397326416,0.4093362188741885,0.40635179153094464,12.066956429628794,0.6803345119841593,High,0
CUST100001,Neysa Gaba,43.597030752916226,Male,Vadodara,133758.49,102,T007,P003,1499.0,Credit Card,2025-10-09,0,2023-01-01,1227,1,Bachelor,1.0,0.03085360534481507,0.505433750653111,0.5416091286178301,0.019173036112188638,1.2206840390879479,11.803798615512216,0.08919534890155151,High,1
CUST100002,Kartik Bhattacharyya,53.0,Other,Vadodara,120564.13,103,T002,P003,1299.0,Credit Card,2025-10-02,0,2023-01-01,1227,2,School,0.0,-0.17510697044158954,0.4477914292269596,0.48818309321424597,-0.10867595697122795,1.0578175895765471,11.699945383821767,-0.11263297052015,Medium,1
CUST100003,Miraan Doctor,69.0,Male,Delhi,80299.77,104,T003,P002,699.0,Debit Card,2025-10-03,0,2023-01-01,1227,1,Master,2.0,-0.8036233038803533,0.2718881507702344,0.3251463773096734,-0.4988243145382642,0.5692182410423453,11.293534488929975,-0.7622562883388719,Low,0
CUST100004,Samaira Vyas,66.0,Female,Delhi,156875.62,105,T004,P005,1999.0,UPI,2025-10-05,0,2023-01-01,1227,0,School,0.0,0.3917060760466281,0.6064257682962653,0.6352140178136119,0.2431703950957578,1.6278501628664495,11.963214915508093,0.43269140600553174,High,1
CUST100005,Samarth Sachdev,64.0,Female,Mumbai,131779.78109775498,106,T008,P001,499.0,Cash,2025-10-10,0,2023-01-01,1227,0,Bachelor,1.0,-3.353316133961038e-05,0.49678934694182875,0.533597025577991,0.0,0.40635179153094464,11.78889507173629,0.05921574757014719,Medium,0
CUST100006,Seher Ganesan,43.597030752916226,Male,Vadodara,196671.06,107,T005,P004,899.0,Cash,2025-10-07,0,2023-01-01,1227,1,School,0.0,1.0129026885441896,0.7802804716524815,0.7963520030088929,0.6287750726482518,0.7320846905537459,12.189292950566582,0.9993647348579294,Very High,0
CUST100007,Armaan Chander,32.0,Female,Delhi,53223.71,108,T006,P006,2599.0,UPI,2025-10-08,0,2023-01-01,1227,0,PhD,3.0,-1.2262736565785703,0.15360071936213557,0.2155111589171505,-0.761182398421543,2.1164495114006514,10.882278041179434,-1.2399286176226458,Low,1
CUST100008,Akarsh Kohli,31.0,Other,Hyderabad,164219.9,109,,,,,,0,2023-01-01,1227,2,Master,2.0,0.5063484033392422,0.6385107916246916,0.6649521607242066,0.3143340440277769,,12.008967751700814,0.5394389207467336,High,0
CUST100009,Emir Bains,64.0,Female,Pune,66609.57,110,,,,,,0,2023-01-01,1227,0,School,0.0,-1.0173238149040815,0.21207964859291786,0.2697126078898495,-0.6314778335502201,,11.106618552644294,-0.9984366306975502,Low,0
CUST100010,Myra Virk,67.0,Male,Bangalore,77919.11,111,,,,,,0,2023-01-01,1227,1,PhD,3.0,-0.8407847959384496,0.2614877396152878,0.3155067111611147,-0.5218921241079567,,11.263439350019732,-0.802650914331769,Low,0
CUST100011,Bhavin Barad,54.0,Female,Chennai,48574.82,112,,,,,,0,2023-01-01,1227,0,Master,2.0,-1.2988416372284584,0.13329107102338922,0.19668707334366548,-0.8062286079728637,,10.790881155214839,-1.326803852381017,Low,0
CUST100012,Purab Sandal,33.0,Other,Hyderabad,108859.12,113,,,,,,0,2023-01-01,1227,2,PhD,3.0,-0.3578191746853443,0.39665564479207094,0.4407876698167256,-0.2220936401730903,,11.597819034320855,-0.2957590470722855,Medium,0
CUST100013,Aradhya Dey,26.0,Male,Rajkot,162449.82,114,,,,,,0,2023-01-01,1227,1,Bachelor,1.0,0.4787179084923534,0.6307778269102227,0.6577848288682336,0.2971825531121817,,11.998130588791494,0.5138084135879503,High,0
